ORDEN,IPAT,FECHA,AÑO,MES,DIA,GRAVEDAD,DIA_SEMANA
1,A000057026,2017-03-16,2017,3,JUEVES,CON HERIDOS,Thursday
2,A000057029,2017-03-14,2017,3,MARTES,CON HERIDOS,Tuesday
3,A000057030,2017-03-14,2017,3,MARTES,CON HERIDOS,Tuesday
4,A000057022,2017-03-14,2017,3,MARTES,SOLO DAÑOS,Tuesday
5,A000056976,2017-03-14,2017,3,MARTES,SOLO DAÑOS,Tuesday
6,A000056985,2017-03-14,2017,3,MARTES,CON HERIDOS,Tuesday
7,A000057027,2017-03-14,2017,3,MARTES,SOLO DAÑOS,Tuesday
8,A000057023,2017-03-16,2017,3,JUEVES,CON HERIDOS,Thursday
9,A000057031,2017-03-16,2017,3,JUEVES,CON HERIDOS,Thursday
10,A000057035,2017-03-16,2017,3,JUEVES,CON HERIDOS,Thursday
11,A000057038,2017-03-16,2017,3,JUEVES,SOLO DAÑOS,Thursday
12,A000057028,2017-03-16,2017,3,JUEVES,CON HERIDOS,Thursday
13,A000057036,2017-03-16,2017,3,JUEVES,SOLO DAÑOS,Thursday
14,A000057037,2017-03-16,2017,3,JUEVES,SOLO DAÑOS,Thursday
15,A000057032,2017-03-16,2017,3,JUEVES,CON HERIDOS,Thursday
16,A000057039,2017-03-16,2017,3,JUEVES,CON HERIDOS,Thursday
17,A000057040,2017-03-22,2017,3,MIÉRCOLES,CON HERIDOS,Wednesday
18,A000057051,2017-03-22,2017,3,MIÉRCOLES,CON HERIDOS,Wednesday
19,A000057050,2017-03-22,2017,3,MIÉRCOLES,SOLO DAÑOS,Wednesday
20,A000057041,2017-03-22,2017,3,MIÉRCOLES,CON HERIDOS,Wednesday
21,A000057043,2017-03-22,2017,3,MIÉRCOLES,CON HERIDOS,Wednesday
22,A000057052,2017-03-22,2017,3,MIÉRCOLES,CON HERIDOS,Wednesday
23,A000057042,2017-03-22,2017,3,MIÉRCOLES,SOLO DAÑOS,Wednesday
24,A000057053,2017-03-22,2017,3,MIÉRCOLES,SOLO DAÑOS,Wednesday
25,A000057033,2017-03-22,2017,3,MIÉRCOLES,CON HERIDOS,Wednesday
26,A000057034,2017-03-22,2017,3,MIÉRCOLES,SOLO DAÑOS,Wednesday
27,A000057054,2017-03-22,2017,3,MIÉRCOLES,SOLO DAÑOS,Wednesday
28,A000057044,2017-03-22,2017,3,MIÉRCOLES,SOLO DAÑOS,Wednesday
29,A000057055,2017-03-22,2017,3,MIÉRCOLES,CON HERIDOS,Wednesday
