FECHA,ID_FECHA,AÑO,MES,DIA,AÑO_MES
2017-03-16,1,2017,March,Thursday,2017-03
2017-03-14,2,2017,March,Tuesday,2017-03
2017-03-22,3,2017,March,Wednesday,2017-03
2017-03-23,4,2017,March,Thursday,2017-03
2017-03-27,5,2017,March,Monday,2017-03
2017-03-29,6,2017,March,Wednesday,2017-03
2017-05-05,7,2017,May,Friday,2017-05
2017-05-06,8,2017,May,Saturday,2017-05
2017-05-08,9,2017,May,Monday,2017-05
2017-05-30,10,2017,May,Tuesday,2017-05
2017-05-31,11,2017,May,Wednesday,2017-05
2017-06-09,12,2017,June,Friday,2017-06
2017-06-13,13,2017,June,Tuesday,2017-06
2017-06-14,14,2017,June,Wednesday,2017-06
2017-06-15,15,2017,June,Thursday,2017-06
2017-06-16,16,2017,June,Friday,2017-06
2017-08-10,17,2017,August,Thursday,2017-08
2017-08-11,18,2017,August,Friday,2017-08
2017-08-14,19,2017,August,Monday,2017-08
2017-08-15,20,2017,August,Tuesday,2017-08
2017-08-31,21,2017,August,Thursday,2017-08
2017-09-01,22,2017,September,Friday,2017-09
2017-09-04,23,2017,September,Monday,2017-09
2017-09-05,24,2017,September,Tuesday,2017-09
2017-09-06,25,2017,September,Wednesday,2017-09
2017-09-07,26,2017,September,Thursday,2017-09
2017-09-08,27,2017,September,Friday,2017-09
2017-09-22,28,2017,September,Friday,2017-09
2017-09-25,29,2017,September,Monday,2017-09
2017-09-26,30,2017,September,Tuesday,2017-09
2017-11-07,31,2017,November,Tuesday,2017-11
2017-11-09,32,2017,November,Thursday,2017-11
2017-11-10,33,2017,November,Friday,2017-11
2017-11-14,34,2017,November,Tuesday,2017-11
2017-12-19,35,2017,December,Tuesday,2017-12
2018-01-16,36,2018,January,Tuesday,2018-01
2018-01-17,37,2018,January,Wednesday,2018-01
2018-01-18,38,2018,January,Thursday,2018-01
2018-01-19,39,2018,January,Friday,2018-01
2018-01-25,40,2018,January,Thursday,2018-01
2018-01-26,41,2018,January,Friday,2018-01
2018-02-05,42,2018,February,Monday,2018-02
2018-02-06,43,2018,February,Tuesday,2018-02
2018-02-07,44,2018,February,Wednesday,2018-02
2018-02-08,45,2018,February,Thursday,2018-02
2018-03-26,46,2018,March,Monday,2018-03
2018-04-02,47,2018,April,Monday,2018-04
2018-04-11,48,2018,April,Wednesday,2018-04
2018-04-16,49,2018,April,Monday,2018-04
2018-04-17,50,2018,April,Tuesday,2018-04
2018-04-18,51,2018,April,Wednesday,2018-04
2018-05-08,52,2018,May,Tuesday,2018-05
2018-05-10,53,2018,May,Thursday,2018-05
2018-05-11,54,2018,May,Friday,2018-05
2018-05-15,55,2018,May,Tuesday,2018-05
2018-05-16,56,2018,May,Wednesday,2018-05
2018-05-21,57,2018,May,Monday,2018-05
2018-07-11,58,2018,July,Wednesday,2018-07
2018-07-12,59,2018,July,Thursday,2018-07
2018-07-13,60,2018,July,Friday,2018-07
2018-07-17,61,2018,July,Tuesday,2018-07
2018-07-18,62,2018,July,Wednesday,2018-07
2018-08-01,63,2018,August,Wednesday,2018-08
2018-08-21,64,2018,August,Tuesday,2018-08
2018-08-22,65,2018,August,Wednesday,2018-08
2018-08-23,66,2018,August,Thursday,2018-08
2018-08-24,67,2018,August,Friday,2018-08
2018-09-05,68,2018,September,Wednesday,2018-09
2018-09-07,69,2018,September,Friday,2018-09
2018-09-10,70,2018,September,Monday,2018-09
2018-09-11,71,2018,September,Tuesday,2018-09
2018-09-12,72,2018,September,Wednesday,2018-09
2018-09-13,73,2018,September,Thursday,2018-09
2018-09-14,74,2018,September,Friday,2018-09
2018-09-17,75,2018,September,Monday,2018-09
2018-09-22,76,2018,September,Saturday,2018-09
2018-10-31,77,2018,October,Wednesday,2018-10
2018-11-01,78,2018,November,Thursday,2018-11
2018-11-02,79,2018,November,Friday,2018-11
2018-11-06,80,2018,November,Tuesday,2018-11
2018-11-07,81,2018,November,Wednesday,2018-11
2018-11-08,82,2018,November,Thursday,2018-11
2018-12-15,83,2018,December,Saturday,2018-12
2018-12-17,84,2018,December,Monday,2018-12
2018-12-18,85,2018,December,Tuesday,2018-12
2019-02-13,86,2019,February,Wednesday,2019-02
2019-02-14,87,2019,February,Thursday,2019-02
2019-02-25,88,2019,February,Monday,2019-02
2019-02-26,89,2019,February,Tuesday,2019-02
2019-03-04,90,2019,March,Monday,2019-03
2019-03-05,91,2019,March,Tuesday,2019-03
2019-03-06,92,2019,March,Wednesday,2019-03
2019-03-14,93,2019,March,Thursday,2019-03
2019-04-01,94,2019,April,Monday,2019-04
